week,day,rest_days,home_team,distance_travelled,opp,result,points_for,points_allowed,tot_yds,pass_yds,rush_yds,opp_tot_yds,opp_pass_yds,opp_rush_yds
1,Mon,10 days,True,0.0,Buffalo Bills,W,22,16,289,117,172,314,217,97
2,Sun,6 days,False,1369.6593216252013,Dallas Cowboys,L,10,30,215,151,64,382,248,134
3,Sun,7 days,True,0.0,New England Patriots,L,10,15,171,133,38,358,201,157
4,Sun,7 days,True,0.0,Kansas City Chiefs,L,20,23,336,228,108,401,197,204
5,Sun,7 days,False,1600.8876120575242,Denver Broncos,W,31,21,407,173,234,308,169,139
6,Sun,7 days,True,0.0,Philadelphia Eagles,,0,0,0,0,0,0,0,0
8,Sun,14 days,False,0.0,New York Giants,,0,0,0,0,0,0,0,0
9,Mon,8 days,True,0.0,Los Angeles Chargers,,0,0,0,0,0,0,0,0
10,Sun,6 days,False,2221.735410856061,Las Vegas Raiders,,0,0,0,0,0,0,0,0
11,Sun,7 days,False,281.34515791595953,Buffalo Bills,,0,0,0,0,0,0,0,0
12,Fri,5 days,True,0.0,Miami Dolphins,,0,0,0,0,0,0,0,0
13,Sun,9 days,True,0.0,Atlanta Falcons,,0,0,0,0,0,0,0,0
14,Sun,7 days,True,0.0,Houston Texans,,0,0,0,0,0,0,0,0
15,Sun,7 days,False,1066.3466580435988,Miami Dolphins,,0,0,0,0,0,0,0,0
16,Sun,7 days,True,0.0,Washington Commanders,,0,0,0,0,0,0,0,0
17,Thu,4 days,False,403.0684373878668,Cleveland Browns,,0,0,0,0,0,0,0,0
18,Sun,10 days,False,159.6810485810595,New England Patriots,,0,0,0,0,0,0,0,0
